drugName,url,description
Abilify,https://www.drugs.com/abilify.html,"abilify (aripiprazole is an antipsychotic medication. it works by changing the actions of chemicals in the brain. abilify is used to treat the symptoms of psychotic conditions such as schizophrenia and bipolar i disorder (manic depression). it is not known if aripiprazole is safe or effective in children younger than 13 with schizophrenia, or children younger than 10 with bipolar disorder. abilify is also used together with other medicines to treat major depressive disorder in adults. abilify is also used in children 6 years or older who have tourette's disorder, or symptoms of autistic disorder (irritability, aggression, mood swings, temper tantrums, and self-injury)."
Accupril,https://www.drugs.com/accupril.html,accupril (quinapril) is an ace inhibitor. ace stands for angiotensin converting enzyme. accupril is used to treat high blood pressure (hypertension). lowering blood pressure may lower your risk of a stroke or heart attack. accupril is also used together with other medications to treat heart failure.
Acetaminophen,https://www.drugs.com/acetaminophen.html,"acetaminophen is a pain reliever and a fever reducer. acetaminophen is used to treat mild to moderate and pain, to treat moderate to severe pain in conjunction with opiates, or to reduce fever. common conditions that acetaminophen treats include headache, muscle aches, arthritis, backache, toothaches, sore throat, colds, flu, and fevers. acetaminophen may also be used for purposes not listed in this medication guide. it is typically used orally, but can be given intravenously."
Aciphex,https://www.drugs.com/aciphex.html,"aciphex (rabeprazole) is a proton pump inhibitor that decreases the amount of acid produced in the stomach. aciphex is used short-term to treat symptoms of gastroesophageal reflux disease (gerd) in adults and children who are at least 1 year old. aciphex is used only in adults to treat conditions involving excessive stomach acid, such as zollinger-ellison syndrome. it is also used in adults to promote healing of duodenal ulcers or erosive esophagitis (damage to your esophagus caused by stomach acid). aciphex may also be given with an antibiotic to prevent duodenal ulcer caused by infection with helicobacter pylori (h. pylori). aciphex is not for immediate relief of heartburn symptoms."
Acyclovir,https://www.drugs.com/acyclovir.html,"acyclovir is an antiviral drug. it slows the growth and spread of the herpes virus in the body. it will not cure herpes, but it can lessen the symptoms of the infection. acyclovir is used to treat infections caused by herpes viruses, such as genital herpes, cold sores, shingles, and chickenpox. sitavig (acyclovir tablet, delayed release) is only for use in treating cold sores on the lips. sitavig will not treat genital herpes."
Adderall,https://www.drugs.com/adderall.html,adderall contains a combination of amphetamine and dextroamphetamine. amphetamine and dextroamphetamine are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control. adderall is used to treat attention deficit hyperactivity disorder (adhd) and narcolepsy. adderall may also be used for purposes not listed in this medication guide.
Advair Diskus,https://www.drugs.com/mtm/advair-diskus.html,"advair diskus inhalation is a steroid and bronchodilator combination medicine that is used to prevent asthma attacks. it is also used to prevent flare-ups or worsening of chronic obstructive pulmonary disease (copd) associated with chronic bronchitis and/or emphysema. in people with copd, advair diskus is for long-term treatment. in people with asthma, advair diskus is for short-term treatment until symptoms are well controlled with with other medicines. advair diskus is for use in adults and children who are at least 4 years old. advair hfa and airduo respiclick are for use in adults and children who are at least 12 years old. advair diskus may also be used for purposes not listed in this medication guide."
Advil,https://www.drugs.com/advil.html,"advil (ibuprofen) is a nonsteroidal anti-inflammatory drug (nsaid). ibuprofen works by reducing hormones that cause inflammation and pain in the body. advil is used to reduce fever and treat pain or inflammation caused by many conditions such as headache, toothache, back pain, arthritis, menstrual cramps, or minor injury. advil is used in adults and children who are at least 6 months old."
Aimovig,https://www.drugs.com/aimovig.html,"aimovig (erenumab) is a monoclonal antibody that blocks the activation of a certain protein that can produce a migraine attack. this protein, called calcitonin gene- related peptide (cgrp), can cause blood vessels to dilate and cause inflammation and migraine headache pain. aimovig is a prescription medicine used for the preventive treatment of migraine in adults. aimovig may also be used for purposes not listed in this medication guide."
Albuterol,https://www.drugs.com/albuterol.html,"albuterol is a bronchodilator that relaxes muscles in the airways and increases air flow to the lungs. albuterol inhalation is used to treat or prevent bronchospasm, or narrowing of the airways in the lungs, in people with asthma or certain types of chronic obstructive pulmonary disease (copd). it is also used to prevent exercise-induced bronchospasm. albuterol inhalation is for use in adults and children who are at least 4 years old. some brands or forms of this medicine are not for use in children younger than 12 years old. always follow your doctor's directions when giving albuterol to a child."
Aldactone,https://www.drugs.com/aldactone.html,"aldactone (spironolactone) is a potassium-sparing diuretic (water pill) that prevents your body from absorbing too much salt and keeps your potassium levels from getting too low. aldactone is used to treat heart failure, high blood pressure (hypertension), or hypokalemia (low potassium levels in the blood). aldactone also treats fluid retention (edema) in people with congestive heart failure, cirrhosis of the liver, or a kidney disorder called nephrotic syndrome. aldactone is also used to diagnose or treat a condition in which you have too much aldosterone in your body. aldosterone is a hormone produced by your adrenal glands to help regulate the salt and water balance in your body."
Alendronate,https://www.drugs.com/mtm/alendronate.html,"alendronate is used to treat osteoporosis caused by menopause, steroid use, or gonadal failure. alendronate is for use when you have a high risk of bone fracture due to osteoporosis. alendronate is also used to treat paget's disease of bone. alendronate may also be used for purposes not listed in this medication guide."
Aleve,https://www.drugs.com/aleve.html,"aleve (naproxen) is a nonsteroidal anti-inflammatory drug (nsaid). naproxen works by reducing hormones that cause inflammation and pain in the body. aleve is used to temporarily relieve minor aches and pains due to arthritis, muscular aches, backache, menstrual cramps, headache, toothache,and the common cold. aleve is also used to temporarily reduce fever. aleve may also be used for purposes not listed in this medication guide."
Allopurinol,https://www.drugs.com/allopurinol.html,"allopurinol reduces the production of uric acid in your body. uric acid buildup can lead to gout or kidney stones. allopurinol is used to treat gout or kidney stones, and to decrease levels of uric acid in people who are receiving cancer treatment. allopurinol may also be used for purposes not listed in this medication guide."
Alprazolam,https://www.drugs.com/alprazolam.html,"alprazolam is a benzodiazepine (ben-zoe-dye-aze-eh-peen). it is thought that alprazolam works by enhancing the activity of certain neurotransmitters in the brain. alprazolam is used to treat anxiety disorders, panic disorders, and anxiety caused by depression. it is dangerous to purchase alprazolam on the internet or outside the united states. the sale and distribution of medicines outside the u.s. does not comply with safe-use regulations of the food and drug administration (fda). these medications may contain dangerous ingredients, or may not be distributed by a licensed pharmacy."
Ambien,https://www.drugs.com/ambien.html,"ambien (zolpidem) is a sedative, also called a hypnotic. zolpidem affects chemicals in the brain that may be unbalanced in people with sleep problems insomnia). ambien is used to treat insomnia. the immediate-release tablet is used to help you fall asleep when you first go to bed. the extended-release form, ambien cr, which has a first layer that dissolves quickly to help you fall asleep, and a second layer that dissolves slowly to help you stay asleep. your doctor will determine which form of ambien is best for you."
